Date,Open,High,Low,Close,Adjusted Close,Volume
12/24/2024,967.0,997.0,953.4,982.95,982.95,267963
12/23/2024,960.35,978.5,944.75,965.6,965.6,371394
12/20/2024,999.9,1005.05,941.0,945.25,945.25,288704
12/19/2024,988.95,1016.0,977.65,995.7,995.7,275397
12/18/2024,1018.0,1028.7,999.25,1008.8,1008.8,649665
12/17/2024,1005.35,1063.0,998.9,1014.75,1014.75,790418
12/16/2024,985.35,1012.85,977.3,1007.0,1007.0,311199
12/13/2024,948.05,989.5,935.0,984.2,984.2,300995
12/12/2024,955.6,968.0,943.75,955.35,955.35,199373
12/11/2024,973.65,973.65,951.55,955.05,955.05,289349
12/10/2024,973.25,985.55,958.1,967.2,967.2,250174
12/09/2024,996.0,1007.0,967.85,971.2,971.2,526839
12/06/2024,960.0,990.9,942.05,975.8,975.8,777411
12/05/2024,943.7,970.85,937.65,956.5,956.5,418235
12/04/2024,907.35,942.0,902.4,939.55,939.55,686726
12/03/2024,899.5,910.0,890.75,902.85,902.85,305372
12/02/2024,902.05,912.0,882.65,896.55,896.55,313534
11/29/2024,930.0,951.9,895.3,901.05,901.05,796921
11/28/2024,924.95,949.95,913.0,927.5,927.5,613391
11/27/2024,894.4,924.95,887.0,918.65,918.65,608902
11/26/2024,893.1,911.45,879.5,886.45,886.45,431968
11/25/2024,912.9,939.0,882.0,892.6,892.6,758875
11/22/2024,846.9,909.0,843.75,900.0,900.0,1714861
11/21/2024,824.95,854.25,809.0,845.4,845.4,743593
11/19/2024,785.9,833.95,785.9,814.0,814.0,621930
11/18/2024,772.85,787.95,758.15,783.75,783.75,354502
11/14/2024,760.2,797.5,760.2,769.0,769.0,762241
11/13/2024,789.85,793.05,750.3,753.6,753.6,767010
11/12/2024,828.95,840.0,787.0,789.75,789.75,490721
11/11/2024,848.5,853.05,813.85,820.15,820.15,494558
11/08/2024,796.95,855.1,788.55,848.15,848.15,1035748
11/07/2024,800.0,813.25,790.65,795.8,795.8,321928
11/06/2024,765.0,804.15,762.85,797.35,797.35,490321
11/04/2024,755.85,769.9,747.75,750.7,750.7,213118
11/01/2024,764.85,772.75,756.65,761.45,761.45,128455
10/31/2024,745.25,778.35,745.25,758.9,758.9,591090
10/29/2024,734.75,748.35,725.4,744.4,744.4,338341
10/28/2024,746.05,758.5,726.8,733.0,733.0,782558
10/25/2024,765.85,767.8,714.4,744.6,744.6,822274
10/24/2024,750.6,789.95,739.6,764.4,764.4,1252292
10/23/2024,715.5,771.25,700.15,745.0,745.0,2904096
10/22/2024,728.0,728.0,669.65,687.3,687.3,705311
10/21/2024,723.05,745.45,706.25,725.85,725.85,485450
10/18/2024,691.0,729.9,670.4,724.95,724.95,1032212
10/17/2024,727.35,728.7,690.9,696.35,696.35,305197
10/16/2024,723.05,734.3,717.0,721.4,721.4,199066
10/15/2024,723.75,742.6,713.0,729.6,729.6,325500
10/14/2024,730.0,735.8,711.35,717.6,717.6,330172
10/11/2024,732.0,753.3,720.25,724.15,724.15,409209
10/10/2024,743.05,756.45,726.4,731.7,731.7,475562
10/09/2024,751.0,766.85,725.95,741.2,741.2,1337741
10/08/2024,655.35,771.95,655.35,753.6,753.6,1380828
10/07/2024,698.05,712.65,637.35,651.6,651.6,1048228
10/04/2024,727.3,732.0,691.2,695.2,695.2,807368
10/03/2024,703.05,755.5,700.0,727.35,727.35,946199
10/01/2024,688.35,742.0,681.65,731.25,731.25,1867118
